id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1463,"„Доставка на 4 /четири/ броя фабрично нови, високо проходими автомобили, тип ""пикап"" за нуждите на „Водоснабдяване и канализация Добрич“ АД ”",ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ДОБРИЧ АД,05374-2024-0012,Публично състезание,2024-12-16,2024-12-11,https://app.eop.bg/today/435906
1464,"„Инженеринг - проектиране, упражняване на авторски надзор и изпълнение на строително-монтажни работи (СМР) на обект: „Основен ремонт на покрива на сграда към СУ „П.К.Яворов” с ПИ 81414.502.1282.1 в  УПИ III – за техникум, кв.99 по плана на гр. Чирпан”",ОБЩИНА  ЧИРПАН,00240-2024-0037,Публично състезание,2025-01-06,2024-12-11,https://app.eop.bg/today/442655
1465,"“Организиране на събития“, по проект BGRS0100003 – RESPONSE",Академия на Министерство на вътрешните работи /МВР/,00563-2024-0042,Публично състезание,2024-12-31,2024-12-11,https://app.eop.bg/today/436580
1466,"„Услуги по изготвяне на инвестиционни проекти, извършване на консултантска дейност по ЗУТ и технически контрол по част „Конструктивна“ за нуждите на НЕК ЕАД“",НАЦИОНАЛНА ЕЛЕКТРИЧЕСКА КОМПАНИЯ ЕАД,00026-2024-0161,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/359365
1467,„Зимно поддържане и снегопочистване на републиканската пътна мрежа в границите на град Генерал Тошево”,ОБЩИНА ГЕНЕРАЛ ТОШЕВО,00964-2024-0034,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/442151
1484,„Изследване и анализиране на нагласите на обществото и предизвикателствата пред обществеността и бизнеса по повод присъединяването на България към еврозоната“,МИНИСТЕРСТВО НА ФИНАНСИТЕ,00210-2024-0025,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/436462
1468,"Строително-монтажни работи, пряко свързани с въвеждане на енергоефективни мерки чрез реконструкция, модернизация и интелигентно управление на уличното осветление на територията на община Стамболийски- с.Йоаким Груево, с.Куртово конаре, с.Ново село и с. Триводици",ОБЩИНА СТАМБОЛИЙСКИ,00590-2024-0018,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/442125
1469,Проектиране и осъществяване на авторски надзор за устойчиво енергийно обновяване на многофамилни жилищни сгради на територията на район „Красно село“ – СО по процедура „Подкрепа за устойчиво енергийно обновяване на жилищния сграден фонд – Етап I“ на Плана за възстановяване и устойчивост на Република България  по 2 (две) обособени позиции,"РАЙОН ""КРАСНО СЕЛО""",01260-2024-0018,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/442117
1470,"Доставки на лекарствени продукти по предварителни писмени заявки за нуждите на МБАЛ  „Д-р НИКОЛА ВАСИЛИЕВ” АД,  гр. Кюстендил",МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - Д-Р НИКОЛА ВАСИЛИЕВ АД,00113-2024-0010,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/441851
1471,"„Премахване на незаконни строежи от четвърта до шеста категория включително, или на части от тях, съгласно чл.225а от Закона за устройство на територията (ЗУТ) на територията на Община Варна“",ОБЩИНА ВАРНА,00081-2024-0120,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441731
1472,"„Предоставяне на услуги по охрана на имоти по обособени позиции, За обособена позиция № 3: „Предоставяне на услуги по охрана на административните сгради на ТП на НОИ – Варна“",ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ НА НАЦИОНАЛЕН ОСИГУРИТЕЛЕН ИНСТИТУТ - ВАРНА,00145-2024-0102,Открита процедура,2024-12-18,2024-12-11,https://app.eop.bg/today/441720
1473,„Текущо и основно почистване на търговски и административни площи стопанисвани от „Пазари Север“ ЕАД“,ПАЗАРИ СЕВЕР ЕАД,03878-2024-0003,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/441643
